"Sample.ID","NCBI.accession","Sample.collection.date","Host.species","Region","Province","Municipality","Barangay","Location","source","corrected_date","decimal_date"
"4B-23-13",NA,"9-Feb-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Rizal","Odiongan","this paper",2023-02-09,2023.10684931507
"4B-23-15",NA,"16-Feb-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Poctoy","Odiongan","this paper",2023-02-16,2023.12602739726
"4B-23-16",NA,"28-Feb-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Dapawan","Odiongan","this paper",2023-02-28,2023.15890410959
"4B-23-17",NA,"1-Mar-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Poctoy","Odiongan","this paper",2023-03-01,2023.16164383562
"4B-23-19",NA,"1-Mar-23","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Mahabang Baybay","San Agustin","this paper",2023-03-01,2023.16164383562
"H-23-011Sk12",NA,"2-Feb-23","Homo sapiens","Southwestern Tagalog Region","Romblon",NA,"Concepcion Sur","Santa Maria","this paper",2023-02-02,2023.08767123288
"Z-14-098",NA,"29-Apr-14","Canis familiaris","Calabarzon","Batangas",NA,"Dita","Cuenca","this paper",2014-04-29,2014.32328767123
"Z-16-082",NA,"24-May-16","Canis familiaris","Calabarzon","Laguna",NA,"Caingin","Sta. Rosa","this paper",2016-05-24,2016.39344262295
"Z-17-046",NA,"6-Mar-17","Canis familiaris","Calabarzon","Batangas",NA,"Bgy. San Fernando","Sto. Tomas","this paper",2017-03-06,2017.17534246575
"Z-18-224",NA,"28-Oct-18","Canis familiaris","National Capital Region","Metro Manila",NA,"Camarin Rd.","Caloocan","this paper",2018-10-28,2018.82191780822
"Z-22-103",NA,"21-Nov-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Paroyhog","Santa Maria","this paper",2022-11-21,2022.88767123288
"Z-22-119",NA,"28-Dec-22","Canis familiaris","","Romblon",NA,"Tulay","Odiongan","this paper",2022-12-28,2022.98904109589
"Z-22-121",NA,"19-Dec-22","Canis familiaris","Southwestern Tagalog Region","Romblon",NA,"Carmen","San Agustin","this paper",2022-12-19,2022.96438356164
"PHI103","AB116577","2001","12153119","Mindanao Island",NA,NA,NA,"Mindanao Island","rabv-glue",2001-01-01,2001
"PHI114","AB116578","2001","12153119","Mindanao Island",NA,NA,NA,"Mindanao Island","rabv-glue",2001-01-01,2001
"PHI103","AB116581","2001","12153119","Mindanao Island",NA,NA,NA,"Mindanao Island","rabv-glue",2001-01-01,2001
"PHI114","AB116582","2001","12153119","Mindanao Island",NA,NA,NA,"Mindanao Island","rabv-glue",2001-01-01,2001
