id_case,id_progen,links,t_diff_median_days,dist_diff_meters,prob,scenario
2,,967,,,0.967,8
23,13,550,13,2469.07327634074,0.55,8
14,,842,,,0.842,8
28,20,399,20,2580.54364750595,0.399,8
16,10,789,21,1069.73735270301,0.789,8
3,1,975,6,1147.81066812242,0.975,8
45,,981,,,0.981,8
75,3,393,24,4608.10330451717,0.393,8
9,,1000,,,1,9
4,9,1000,17,0,1,9
2,,1000,,,1,9
3,1,1000,6,0,1,9
5,1,498,11,10528.1831983032,0.498,9
6,4,652,38,2535.71856193369,0.652,9
7,5,917,17,0,0.917,9
15,5,751,18,0,0.751,9
10,2,1000,29,2411.97395529211,1,9
14,15,420,14,1159.93288674326,0.42,9
13,3,499,40,0,0.499,9
16,10,983,21,0,0.983,9
17,15,310,33,0,0.31,9
20,23,875,10,0,0.875,9
18,16,729,17,2817.93651238023,0.729,9
21,18,951,10,0,0.951,9
22,16,640,28,0,0.64,9
23,13,499,13,1893.50318128421,0.499,9
28,45,474,45,0,0.474,9
33,20,556,25,0,0.556,9
30,17,346,40,1241.94210276506,0.346,9
31,17,262,23,5012.23495375645,0.262,9
34,30,373,6,1241.94210276506,0.373,9
35,30,878,7,0,0.878,9
37,21,484,30,2193.55162714132,0.484,9
39,35,408,9,1984.31854577717,0.408,9
38,34,347,14,4545.81426775876,0.347,9
42,6,1000,132,7533.83271997377,1,9
43,42,996,8,4677.23007578044,0.996,9
44,41,392,23,4299.34607887807,0.392,9
48,41,446,57,2445.1682977298,0.446,9
59,53,515,9,4817.32916290832,0.515,9
56,39,347,116,7377.2768018994,0.347,9
58,56,670,30,8521.82323949562,0.67,9
62,43,654,130,9003.42045404616,0.654,9
61,62,1000,8,0,1,9
63,56,1000,67,10913.3403803167,1,9
65,63,960,18,6281.18404371179,0.96,9
45,75,968,14,0,0.968,9
46,14,768,7,0,0.768,9
1,,1000,,,1,9
29,2,1000,83,10673.8356576988,1,9
40,21,435,55,0,0.435,9
41,37,236,24,8204.73935283055,0.236,9
53,41,478,87,0,0.478,9
75,3,369,24,4820.3580457572,0.369,9
9,,1000,,,1,10
4,9,1000,17,1551.39382556501,1,10
2,,1000,,,1,10
3,1,1000,6,1205.5717307507,1,10
5,,375,,,0.375,10
6,4,614,38,2521.98360080925,0.614,10
7,5,917,17,646.169488968548,0.917,10
15,5,745,18,609.840818854972,0.745,10
10,2,1000,29,2327.41865645246,1,10
14,7,407,15,1274.89125443343,0.407,10
13,3,366,40,911.561907836093,0.366,10
16,10,884,21,1036.27732185553,0.884,10
17,46,311,12,1195.14644989143,0.311,10
20,23,643,10,960.857887949574,0.643,10
18,16,721,17,2586.9040396793,0.721,10
21,18,796,10,946.355593789058,0.796,10
22,16,391,28,905.039786886851,0.391,10
23,13,422,13,2226.35547234023,0.422,10
28,20,340,20,2583.71161897094,0.34,10
33,20,362,25,904.887264177513,0.362,10
30,17,353,40,1163.09603284729,0.353,10
31,17,261,23,4735.8853898364,0.261,10
34,30,543,6,1201.56200389409,0.543,10
35,30,683,7,660.385285037643,0.683,10
37,21,471,30,2083.70367503566,0.471,10
39,35,378,9,2286.7258491157,0.378,10
38,34,319,14,3962.5172280655,0.319,10
42,6,1000,132,6873.53751558927,1,10
43,42,991,8,5445.66975931691,0.991,10
44,40,411,23,5275.55841689775,0.411,10
48,41,568,58,1848.20530841681,0.568,10
59,53,510,9,5603.97971448668,0.51,10
56,39,364,116,6879.3708504783,0.364,10
58,56,785,30,7926.6826199871,0.785,10
62,43,767,130,8260.10416196208,0.767,10
61,62,999,8,1608.71091525294,0.999,10
63,,812,,,0.812,10
65,63,972,18,6950.03884915671,0.972,10
45,75,831,14,1694.63685634,0.831,10
46,14,573,7,670.114955319652,0.573,10
1,,1000,,,1,10
29,,345,,,0.345,10
40,37,424,25,2023.60245664747,0.424,10
41,37,281,23,8026.64068967992,0.281,10
53,48,779,30,2067.01617269127,0.779,10
75,3,385,24,4795.85302478103,0.385,10
9,,1000,,,1,11
4,9,1000,17,0,1,11
2,,1000,,,1,11
3,1,999,6,0,0.999,11
6,4,633,38,2535.71856193369,0.633,11
7,5,814,17,0,0.814,11
13,3,536,40,0,0.536,11
16,10,982,21,0,0.982,11
20,23,917,10,0,0.917,11
22,16,660,28,0,0.66,11
28,75,482,59,0,0.482,11
33,20,550,25,0,0.55,11
31,17,299,23,5012.23495375645,0.299,11
37,21,985,30,2193.55162714132,0.985,11
39,35,385,9,1984.31854577717,0.385,11
38,34,353,14,4545.81426775876,0.353,11
42,6,1000,132,7533.83271997377,1,11
43,42,997,8,4677.23007578044,0.997,11
44,41,415,23,4299.34607887807,0.415,11
48,41,470,58,2445.1682977298,0.47,11
59,53,524,9,4817.32916290832,0.524,11
56,39,356,116,7377.2768018994,0.356,11
58,56,674,30,8521.82323949562,0.674,11
62,43,656,130,9003.42045404616,0.656,11
61,62,1000,8,0,1,11
63,56,1000,67,10913.3403803167,1,11
65,63,956,18,6281.18404371179,0.956,11
46,14,723,7,0,0.723,11
1,,1000,,,1,11
29,2,973,82,10673.8356576988,0.973,11
40,21,457,55,0,0.457,11
41,37,231,23,8204.73935283055,0.231,11
53,41,495,88,0,0.495,11
34,14,440,65,1159.93288674326,0.44,11
75,6,314,18,7533.82256412345,0.314,11
14,,879,,,0.879,11
35,34,505,2,1241.94210276506,0.505,11
17,15,364,33,0,0.364,11
5,1,500,11,10528.1831983032,0.5,11
45,,998,,,0.998,11
23,13,683,13,1893.50318128421,0.683,11
15,5,750,18,0,0.75,11
10,,976,,,0.976,11
30,17,395,40,1241.94210276506,0.395,11
18,16,749,17,2817.93651238023,0.749,11
21,,983,,,0.983,11
9,,1000,,,1,12
4,9,1000,17,1521.04463056643,1,12
2,,1000,,,1,12
3,1,998,6,1110.35572414981,0.998,12
5,,389,,,0.389,12
6,4,644,38,2549.95504303612,0.644,12
7,5,835,17,640.811767957259,0.835,12
15,5,767,18,651.483153336905,0.767,12
10,2,842,29,2325.57645924638,0.842,12
13,3,406,40,827.953265706859,0.406,12
16,10,862,21,1041.46013282357,0.862,12
20,23,697,10,990.301473847887,0.697,12
22,16,418,28,862.691875110978,0.418,12
23,13,591,13,2490.02563220125,0.591,12
28,20,423,20,2669.97861518739,0.423,12
33,20,400,25,863.133640776221,0.4,12
31,17,332,23,4759.76652573552,0.332,12
39,35,385,9,2188.35863921524,0.385,12
38,34,332,14,3937.69427428263,0.332,12
42,6,1000,132,6902.90238593541,1,12
43,42,998,8,5439.46382753907,0.998,12
44,40,396,23,5245.90388891627,0.396,12
48,41,548,58,1939.82447691732,0.548,12
59,53,505,9,5565.94564488943,0.505,12
56,39,368,116,6873.69538643623,0.368,12
58,56,771,30,7930.84664270325,0.771,12
62,43,760,130,8348.39388379434,0.76,12
61,62,1000,8,1706.62916827191,1,12
63,,800,,,0.8,12
65,63,952,18,7009.59118987529,0.952,12
46,14,475,7,651.482376775671,0.475,12
1,,1000,,,1,12
29,,811,,,0.811,12
40,37,406,24,1945.32741019325,0.406,12
41,37,305,23,7943.73954531684,0.305,12
53,48,788,30,2063.81034235211,0.788,12
75,3,388,24,4714.62766666646,0.388,12
17,15,315,33,534.996849316748,0.315,12
45,,994,,,0.994,12
21,,964,,,0.964,12
35,34,522,2,1211.76337967371,0.522,12
14,,898,,,0.898,12
30,17,425,40,1101.48317573352,0.425,12
34,14,565,65,1340.22634415847,0.565,12
18,16,719,17,2527.28556089648,0.719,12
37,21,981,30,2292.54303861574,0.981,12
9,,1000,,,1,13
4,9,1000,17,0,1,13
2,1,721,3,20530.1205158694,0.721,13
3,1,1000,6,0,1,13
5,1,472,11,10528.1831983032,0.472,13
6,4,577,38,2535.71856193369,0.577,13
7,5,896,17,0,0.896,13
15,5,760,17,0,0.76,13
10,2,996,29,2411.97395529211,0.996,13
14,15,421,14,1159.93288674326,0.421,13
13,3,513,40,0,0.513,13
16,10,974,21,0,0.974,13
17,15,283,33,0,0.283,13
20,23,882,10,0,0.882,13
18,16,729,17,2817.93651238023,0.729,13
21,18,943,10,0,0.943,13
22,16,600,28,0,0.6,13
23,13,492,13,1893.50318128421,0.492,13
28,45,479,45,0,0.479,13
33,20,571,25,0,0.571,13
30,17,333,40,1241.94210276506,0.333,13
31,17,244,23,5012.23495375645,0.244,13
34,30,397,6,1241.94210276506,0.397,13
35,30,861,7,0,0.861,13
37,21,480,30,2193.55162714132,0.48,13
39,35,423,9,1984.31854577717,0.423,13
38,34,349,14,4545.81426775876,0.349,13
42,38,203,22,18963.2064930177,0.203,13
43,42,968,8,4677.23007578044,0.968,13
44,41,417,23,4299.34607887807,0.417,13
48,41,478,57,2445.1682977298,0.478,13
59,53,615,9,4817.32916290832,0.615,13
56,53,694,12,12723.7144807407,0.694,13
58,56,538,30,8521.82323949562,0.538,13
62,56,490,48,34039.2510563691,0.49,13
61,62,1000,8,0,1,13
63,56,539,67,10913.3403803167,0.539,13
65,63,941,18,6281.18404371179,0.941,13
45,75,968,14,0,0.968,13
46,14,770,7,0,0.77,13
1,4,700,26,14521.9696089041,0.7,13
29,22,250,7,11541.1369044193,0.25,13
40,21,454,55,0,0.454,13
41,37,218,24,8204.73935283055,0.218,13
53,41,480,88,0,0.48,13
75,3,378,24,4820.3580457572,0.378,13
9,,1000,,,1,14
4,9,1000,17,1561.02422238369,1,14
2,1,728,3,20753.9436513723,0.728,14
3,1,998,6,1115.39536494628,0.998,14
5,1,446,11,11437.9852167747,0.446,14
6,4,594,38,2506.98616777099,0.594,14
7,5,901,17,651.483633731915,0.901,14
15,5,727,18,586.237857777099,0.727,14
10,2,991,29,2344.31095972595,0.991,14
14,15,412,14,1228.5808887723,0.412,14
13,3,367,40,860.877803613649,0.367,14
16,10,888,21,1069.73424855199,0.888,14
17,46,309,12,1228.58155363705,0.309,14
20,23,599,10,960.857506395784,0.599,14
18,16,733,17,2591.73386917382,0.733,14
21,18,811,10,972.109487317912,0.811,14
22,16,381,28,909.823723238918,0.381,14
23,13,390,13,2326.83796150468,0.39,14
28,20,330,20,2521.94465039382,0.33,14
33,20,376,25,905.535608788974,0.376,14
30,17,369,40,1120.71938799196,0.369,14
31,17,229,23,4743.0042118363,0.229,14
34,30,546,6,1138.87953220383,0.546,14
35,30,675,7,742.861357016953,0.675,14
37,21,446,30,2196.65462614037,0.446,14
39,35,414,9,2187.85915187533,0.414,14
38,34,369,14,3995.66926048424,0.369,14
42,38,152,21,19463.2937357761,0.152,14
43,42,959,8,5426.90125099312,0.959,14
44,40,432,23.5,5281.51101826532,0.432,14
48,41,594,58,1940.69594006162,0.594,14
59,53,563,9,5669.54449610553,0.563,14
56,53,608,12,14055.9645000221,0.608,14
58,56,652,30,7760.89944452045,0.652,14
62,56,498,48,33759.5913105213,0.498,14
61,62,1000,8,1723.16482155388,1,14
63,56,424,67,12426.0554933672,0.424,14
65,63,924,18,6997.10842495533,0.924,14
45,75,824,14,1633.35167640852,0.824,14
46,14,549,7,646.179063311781,0.549,14
1,4,671,26,14531.6086753227,0.671,14
29,22,201,7,11525.70437834,0.201,14
40,37,431,24,1999.68561326681,0.431,14
41,37,292,23,7970.13264759991,0.292,14
53,48,788,29,2087.67054911013,0.788,14
75,3,401,24,4742.86011176702,0.401,14
9,,1000,,,1,15
4,9,1000,17,0,1,15
3,1,983,6,0,0.983,15
6,4,590,38,2535.71856193369,0.59,15
15,5,764,18,0,0.764,15
10,2,955,29,2411.97395529211,0.955,15
13,3,539,40,0,0.539,15
20,23,890,10,0,0.89,15
22,16,652,28,0,0.652,15
23,13,658,13,1893.50318128421,0.658,15
28,75,480,59,0,0.48,15
33,20,554,25,0,0.554,15
31,17,308,23,5012.23495375645,0.308,15
37,21,954,30,2193.55162714132,0.954,15
39,35,398,9,1984.31854577717,0.398,15
38,34,331,14,4545.81426775876,0.331,15
42,38,186,22,18963.2064930177,0.186,15
43,42,961,8,4677.23007578044,0.961,15
44,41,420,23,4299.34607887807,0.42,15
48,41,471,57,2445.1682977298,0.471,15
59,53,618,9,4817.32916290832,0.618,15
56,53,696,12,12723.7144807407,0.696,15
58,56,557,30,8521.82323949562,0.557,15
62,56,517,48,34039.2510563691,0.517,15
61,62,1000,8,0,1,15
63,56,556,67,10913.3403803167,0.556,15
65,63,942,18,6281.18404371179,0.942,15
46,14,742,7,0,0.742,15
40,21,446,55,0,0.446,15
41,37,237,24,8204.73935283055,0.237,15
53,41,496,87,0,0.496,15
75,3,346,24,4820.3580457572,0.346,15
7,5,797,17,0,0.797,15
18,16,663,17,2817.93651238023,0.663,15
21,14,533,36,31360.4866306737,0.533,15
16,10,892,21,0,0.892,15
1,4,688,26,14521.9696089041,0.688,15
29,,898,,,0.898,15
5,1,464,11,10528.1831983032,0.464,15
30,17,391,40,1241.94210276506,0.391,15
17,15,393,33,0,0.393,15
34,14,435,65,1159.93288674326,0.435,15
35,34,482,2,1241.94210276506,0.482,15
14,,862,,,0.862,15
2,,981,,,0.981,15
45,,997,,,0.997,15
9,,1000,,,1,16
4,9,1000,17,1659.91801067599,1,16
3,1,985,6,1181.22316297404,0.985,16
