node	Bicol Region	Cagayan Valley	Calabarzon	Central Luzon	Central Visayas	Cordillera Administrative Region	Davao Region	Ilocos Region	National Capital Region	Northern Mindanao	Southwestern Tagalog Region
RV/R7.PHL/2008/TRa-082	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2008/TRa-081	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2008/TRa-075	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-237	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-147	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-164	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-143	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n1414	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2008/TRa-085	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n15	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-236	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-145	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-241	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-238	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
A12_1978	0.0014074709145665634	0.0017253745886262422	0.011103910615468993	0.019913565174729454	0.9439599102953009	0.004266564300111231	0.0015950930161757603	0.004666563507573017	0.005682906060251772	0.0014553175255904835	0.004223324001605548
RV/R7.PHL/2009/TRa-144	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n1919	2.811126306404468e-06	3.4459360915038013e-06	2.2176164552606806e-05	3.976965811220993e-05	1.9874640392192343e-06	8.520797897036284e-06	0.9998622811829769	9.320959295644625e-06	1.1349382069433565e-05	2.9902534426934038e-05	8.434794231850771e-06
n20	0.0007594170471379475	0.0009305322353654955	0.005986507073141227	0.010733969800793707	0.0005390725813403115	0.0022997458705717073	0.3090324260138763	0.0025193682123120574	0.0030631582572723907	0.6618582925070637	0.002277510401124995
n2121	1.435641995418304e-07	1.7591530649929336e-07	1.1317505068035799e-06	2.0292727625977256e-06	1.018942317544231e-07	4.3477066131179133e-07	3.4101655207150354e-06	4.7626542613201474e-07	5.790951175249285e-07	0.9999910867459795	4.305602876117209e-07
RV/R10.PHL/2009/TRa-110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2929	0.00043285823202501064	0.0005266224877176131	0.003369059347761315	0.006021372728683638	0.00032893075898256127	0.0012896015919679755	0.9796464721365272	0.001449416159432384	0.0017175243933878522	0.003931227107018391	0.0012869150564961559
03006PHI	0.015298887538902234	0.01875287869308004	0.12067922816777575	0.21641609859173971	0.010820959412418028	0.04636785630806839	0.3961053961331554	0.05072999076359573	0.06176020340134834	0.017166551918423364	0.04590194907149286
n4040	2.2016507561846684e-07	2.6975727319617326e-07	1.735380355287459e-06	3.111499703425171e-06	1.563783617179418e-07	6.66634680347912e-07	0.9999912154382217	7.304564776428302e-07	8.879267418181335e-07	3.4613142337913286e-07	6.602316859476661e-07
n4545	1.9656117233101002e-07	2.409388984270935e-07	1.5505020819102932e-06	2.7805447074517264e-06	1.390249494218437e-07	5.957408658042572e-07	0.9999922416209731	6.517802934857685e-07	7.935039750134136e-07	2.2002883492032814e-07	5.897532481536872e-07
RV/R4A.PHL/2004/Z-04-470	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R4A.PHL/2005/Z-05-012	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n51	0.043995905946342784	0.38853562579876694	0.05619396233368812	0.0923896290548881	0.003884584593108796	0.019825621136515526	0.006335304604469471	0.3441937934266622	0.021996664619639297	0.006849136808464113	0.015799771677454562
n57	0.005446286203182842	0.00941950274579991	0.00904300770280151	0.015519745055000693	0.0006760479993398127	0.03337906060972691	0.0010964720311130395	0.917665844505302	0.0038394631708626456	0.001125052244138247	0.002789517732732446
n63	0.008780572711749889	0.0034814886041816535	0.030885023300974965	0.7930239589764697	0.000937680050458739	0.00406596357540804	0.001510676681279996	0.031184300790303977	0.04454603719419138	0.07004823118948315	0.011536066925498592
n100100	0.19672091979353196	0.03276161313667341	0.04204048195434328	0.09034353637507744	0.0015016771358452876	0.007253923100952383	0.0025172331996301325	0.6039702802808182	0.011029586106382805	0.005930292651350432	0.0059304562653946236
RV/R7.PHL/2009/TRa-177	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2008/TRa-098	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
A12_1952	0.0011093883161587817	0.0013599644509944826	0.008752258091433686	0.015696151379948453	0.9558284152720636	0.003362965824513115	0.0012572746882494605	0.003678250810254746	0.004479346265576483	0.0011471016860681537	0.0033288832147391188
RV/R7.PHL/2008/TRa-102	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2008/TRa-074	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2008/TRa-101	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2008/TRa-096	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
A12_1964	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-165	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
A12_1977	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
RV/R7.PHL/2009/TRa-239	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
18-118	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
18-164	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
18-179	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n2020	1.3653988906640014e-27	1.6736487085124967e-27	1.077026249581329e-26	1.9314427511085782e-26	9.65825445019885e-28	4.138177596864126e-27	1.1419268593048873e-25	4.5276083983726396e-27	5.51189302433261e-27	1.0	4.096630207205892e-27
n2222	1.5213834568628874e-07	1.864992609322673e-07	1.20023241606421e-06	2.1524642122916067e-06	1.075331385908057e-07	4.611741260882662e-07	2.7472649393030244e-07	5.04433279580195e-07	6.142667968963663e-07	0.9999938900254887	4.565064414749551e-07
RV/R10.PHL/2009/TRa-189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2727	1.2030646581170989e-11	1.4747990575454738e-11	9.491292203124934e-11	1.7021521129093345e-10	8.50233468343281e-12	3.646931778188188e-11	1.3759973688108846e-11	3.988841997112828e-11	4.857578414524152e-11	0.9999999995247978	3.609972019606038e-11
n30	0.0006016452413938257	0.0007363628490532152	0.004733076805268819	0.008482162545667912	0.00043195110135461185	0.0018171911735878408	0.9753320508190094	0.0019989753281179027	0.002420379496839662	0.0016443831688151807	0.001801821470891617
RV/R11.PHL/2005/Z-05-186	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n41	2.734692259691064e-07	3.352342855541943e-07	2.1574357379762836e-06	3.869092783655201e-06	1.9328436310041133e-07	8.289688602531785e-07	0.9999892256148877	9.06716408251732e-07	1.104155766793942e-06	2.854521542932146e-07	8.205755263604134e-07
n43	4.056872877547171e-07	4.97318178909751e-07	3.2005608509400016e-06	5.739825508505098e-06	2.8671477236070824e-07	1.2297813792762447e-06	0.9999840191726812	1.34508741599488e-06	1.638023322286754e-06	4.2050760705103723e-07	1.2173209957760446e-06
n46	6.236189417388854e-08	7.644732150951704e-08	4.919874889945344e-07	8.823211267125307e-07	4.4073502679811704e-08	1.8904095528179394e-07	0.9999975434470824	2.0676563302497186e-07	2.517955623844746e-07	6.463389542220291e-08	1.8712553727496065e-07
n4646	3.783280624049523e-09	4.637801156172176e-09	2.9847253355872e-08	5.3527536466430695e-08	2.673750730449994e-09	1.1468497151343534e-08	0.9999998509746435	1.2543733951686056e-08	1.527561442221351e-08	3.915610011926487e-09	1.1352278590434678e-08
n5151	0.007532377816206999	0.8694909405995342	0.016170880255020063	0.027753424024603787	0.001277704012504072	0.006612287297337662	0.0020646905993785413	0.05446260563425609	0.007270554687580261	0.0020427120759706173	0.0053218229976076835
94278PHI	0.03250618918948687	0.1754451880394793	0.13856280862567924	0.24509710894280223	0.011946735834998832	0.05252554137827859	0.01920081867853775	0.18814614963104767	0.068174804706892	0.017951484878090847	0.050443170094706474
n5757	0.0016532095453183683	0.0023562415351031265	0.008966076481822459	0.015995754059324824	0.0007870772102024659	0.30860175116422345	0.0012636480896015803	0.6513822352010125	0.004494003788919767	0.0011678967609180379	0.0033321061635533554
RV/R1.PHL/2010/TRa-287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
n6161	4.23311227368839e-05	6.166449350283902e-05	0.00021310770756382695	0.0023770181312030465	1.861275960985023e-05	0.00018841775870082062	2.989158826645003e-05	0.9968562435284738	0.00010625740875314243	2.7716340625480218e-05	7.873916056394702e-05
n6363	8.421607277738231e-05	6.392438108785883e-05	0.00045717068871911946	0.9979116875004349	3.1079601229407865e-05	0.00013354816469490343	4.9877315944142204e-05	0.0002904081454181408	0.00038912494270584955	0.0004162189368720844	0.00017274425011606117
n71	0.008118381806834331	0.006880613478160779	0.047936017876909494	0.39693775291613614	0.0035156725338234083	0.01509844595084455	0.005640715284799395	0.027790823239274304	0.3705795926621363	0.03410919501472444	0.083392789236357
