"Sample.ID","X","Region","Province","year","country","assignment","NCBI.accession","Sample.collection.date","Host.species","Municipality","Barangay","Location","source","corrected_date","decimal_date","outbreak","id_case","membership","lineage","lineage_chain","maddog"
"93",NA,"Ilocos Region","Pampanga",2019,"Philippines","SEA4","LC550024","2019","Canis lupus familiaris",NA,NA,"Region III, Pampanga","rabv-glue","01/01/2019",2019,"Other",NA,NA,NA,NA,NA
"94270PHI",NA,NA,NA,1994,"Philippines","SEA4","EU086200","1994","Canis familiaris",NA,NA,"-","rabv-glue","01/01/1994",1994,"Other",NA,NA,NA,NA,NA
"94272PHI",NA,NA,NA,1994,"Philippines","SEA4","KX148259","1994","Canis familiaris",NA,NA,"-","rabv-glue","01/01/1994",1994,"Other",NA,NA,NA,NA,NA
"94273PHI",NA,NA,NA,1994,"Philippines","SEA4","EU086201","1994","Canis familiaris",NA,NA,"-","rabv-glue","01/01/1994",1994,"Other",NA,NA,NA,NA,NA
"94275PHI",NA,NA,NA,1994,"Philippines","SEA4","KX148263","1994","Canis familiaris",NA,NA,"-","rabv-glue","01/01/1994",1994,"Other",NA,NA,NA,NA,NA
"94278PHI",NA,NA,NA,1994,"Philippines","SEA4","KX148262","1994","Canis familiaris",NA,NA,"-","rabv-glue","01/01/1994",1994,"Other",NA,NA,NA,NA,NA
"94280PHI",NA,NA,NA,1994,"Philippines","SEA4","EU086202","1994","Canis familiaris",NA,NA,"-","rabv-glue","01/01/1994",1994,"Other",NA,NA,NA,NA,NA
"94281PHI",NA,NA,NA,1994,"Philippines","SEA4","KX148261","1994","Canis familiaris",NA,NA,"-","rabv-glue","01/01/1994",1994,"Other",NA,NA,NA,NA,NA
"A12_1952",NA,NA,NA,2009,"Philippines","SEA4","KC792091","2009","Canis familiaris",NA,NA,"-","rabv-glue","01/01/2009",2009,"Other",NA,NA,NA,NA,NA
"A12_1959",NA,NA,NA,2009,"Philippines","SEA4","KC792092","2009","Canis familiaris",NA,NA,"-","rabv-glue","01/01/2009",2009,"Other",NA,NA,NA,NA,NA
"A12_1964",NA,NA,NA,2009,"Philippines","SEA4","KC792093","2009","Canis familiaris",NA,NA,"-","rabv-glue","01/01/2009",2009,"Other",NA,NA,NA,NA,NA
"A12_1969",NA,NA,NA,2009,"Philippines","SEA4","KC792094","2009","Canis familiaris",NA,NA,"-","rabv-glue","01/01/2009",2009,"Other",NA,NA,NA,NA,NA
"A12_1973",NA,NA,NA,2009,"Philippines","SEA4","KC792095","2009","Canis familiaris",NA,NA,"-","rabv-glue","01/01/2009",2009,"Other",NA,NA,NA,NA,NA
"A12_1977",NA,NA,NA,2009,"Philippines","SEA4","KC792096","2009","Canis familiaris",NA,NA,"-","rabv-glue","01/01/2009",2009,"Other",NA,NA,NA,NA,NA
