Sample.ID,Region,Province
RV/R2.PHL/2013/TRa-507,Cordillera Administrative Region,Kalinga
RV/R3.PHL/2004/Z-04-519,Central Luzon,Aurora
RV/R3.PHL/2005/Z-05-198,Central Luzon,Nueva Ecija
RV/R3.PHL/2005/Z-05-507,Central Luzon,Bulacan
RV/R3.PHL/2008/TRa-002,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-006,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-009,Central Luzon,Nueva Ecija
RV/R3.PHL/2008/TRa-010,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-011,Central Luzon,Zambales
RV/R3.PHL/2008/TRa-013,Central Luzon,Tarlac
RV/R3.PHL/2008/TRa-016,Central Luzon,Zambales
RV/R3.PHL/2008/TRa-017,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-018,Central Luzon,Zambales
RV/R3.PHL/2008/TRa-019,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-020,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-021,Central Luzon,Nueva Ecija
RV/R3.PHL/2008/TRa-022,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-038,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-040,Central Luzon,Zambales
RV/R3.PHL/2008/TRa-041,Central Luzon,Tarlac
RV/R3.PHL/2008/TRa-045,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-047,Central Luzon,Zambales
RV/R3.PHL/2008/TRa-048,Central Luzon,Zambales
RV/R3.PHL/2008/TRa-049,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-051,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-059,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-060,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-061,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-062,Central Luzon,Nueva Ecija
RV/R3.PHL/2008/TRa-063,Central Luzon,Nueva Ecija
RV/R3.PHL/2008/TRa-064,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-065,Central Luzon,Nueva Ecija
RV/R3.PHL/2008/TRa-066,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-086,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-087,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-088,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-089,Central Luzon,Nueva Ecija
RV/R3.PHL/2008/TRa-090,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-091,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-092,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-093,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-095,Central Luzon,Nueva Ecija
RV/R3.PHL/2008/TRa-111,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-112,Central Luzon,Pampanga
RV/R3.PHL/2008/TRa-119,Central Luzon,Zambales
RV/R3.PHL/2009/TRa-113,Central Luzon,Zambales
RV/R3.PHL/2009/TRa-114,Central Luzon,Zambales
RV/R3.PHL/2009/TRa-115,Central Luzon,Pampanga
RV/R3.PHL/2009/TRa-116,Central Luzon,Zambales
RV/R3.PHL/2009/TRa-117,Central Luzon,Pampanga
RV/R3.PHL/2009/TRa-118,Central Luzon,Pampanga
RV/R3.PHL/2009/TRa-127,Central Luzon,Pampanga
RV/R3.PHL/2009/TRa-128,Central Luzon,Nueva Ecija
RV/R3.PHL/2009/TRa-129,Central Luzon,Pampanga
RV/R3.PHL/2009/TRa-130,Central Luzon,Pampanga
RV/R3.PHL/2009/TRa-131,Central Luzon,Pampanga
RV/R3.PHL/2009/TRa-132,Central Luzon,Nueva Ecija
RV/R3.PHL/2009/TRa-133,Central Luzon,Pampanga
RV/R3.PHL/2009/TRa-134,Central Luzon,Nueva Ecija
RV/R3.PHL/2009/TRa-135,Central Luzon,Pampanga
RV/R3.PHL/2009/TRa-136,Central Luzon,Nueva Ecija
RV/R3.PHL/2009/TRa-201,Central Luzon,Nueva Ecija
RV/R3.PHL/2009/TRa-202,Central Luzon,Zambales
RV/R3.PHL/2009/TRa-204,Central Luzon,Pampanga
RV/R3.PHL/2009/TRa-205,Central Luzon,Nueva Ecija
RV/R3.PHL/2009/TRa-206,Central Luzon,Pampanga
RV/R3.PHL/2012/TRa-302,Ilocos Region,Tarlac
RV/R3.PHL/2012/TRa-303,Ilocos Region,Bulacan
RV/R3.PHL/2012/TRa-305,Ilocos Region,Pampanga
RV/R3.PHL/2012/TRa-306,Ilocos Region,Nueva Ecija
RV/R3.PHL/2012/TRa-307,Ilocos Region,Tarlac
RV/R3.PHL/2012/TRa-308,Ilocos Region,Bulacan
RV/R3.PHL/2012/TRa-309,Ilocos Region,Tarlac
RV/R3.PHL/2012/TRa-310,Ilocos Region,Bulacan
RV/R3.PHL/2012/TRa-311,Ilocos Region,Bulacan
RV/R3.PHL/2012/TRa-312,Ilocos Region,Nueva Ecija
RV/R3.PHL/2012/TRa-313,Ilocos Region,Bulacan
RV/R3.PHL/2012/TRa-314,Ilocos Region,Tarlac
RV/R3.PHL/2012/TRa-315,Ilocos Region,Bulacan
RV/R3.PHL/2012/TRa-317,Ilocos Region,Bulacan
RV/R3.PHL/2012/TRa-318,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-313,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-346,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-347,Ilocos Region,Nueva Ecija
RV/R3.PHL/2013/TRa-348,Ilocos Region,Nueva Ecija
RV/R3.PHL/2013/TRa-349,Ilocos Region,Nueva Ecija
RV/R3.PHL/2013/TRa-350,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-351,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-352,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-353,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-354,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-441,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-442,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-443,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-444,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-445,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-446,Ilocos Region,Tarlac
RV/R3.PHL/2013/TRa-447,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-448,Ilocos Region,Nueva Ecija
RV/R3.PHL/2013/TRa-449,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-450,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-451,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-452,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-453,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-454,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-455,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-456,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-457,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-458,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-459,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-460,Ilocos Region,Nueva Ecija
RV/R3.PHL/2013/TRa-461,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-462,Ilocos Region,Nueva Ecija
RV/R3.PHL/2013/TRa-463,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-464,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-465,Ilocos Region,Nueva Ecija
RV/R3.PHL/2013/TRa-466,Ilocos Region,Nueva Ecija
RV/R3.PHL/2013/TRa-509,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-533,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-534,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-535,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-536,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-537,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-538,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-540,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-541,Ilocos Region,Nueva Ecija
RV/R3.PHL/2013/TRa-542,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-543,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-544,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-545,Ilocos Region,Pampanga
RV/R3.PHL/2013/TRa-547,Ilocos Region,Bulacan
RV/R3.PHL/2013/TRa-548,Ilocos Region,Bulacan
